name,language_id,source
Chichewa,nya,file
Greek,ell,file
Ilocano,ilo,file
Kapampangan,pam,file
Norman,nrf,file
Occitan,oci,file
Punjabi,pan,file
Scottish Gaelic,gla,file
Slovene,slv,file
Waray-Waray,war,file
Germanic,deu,file
Hellenic,ell,file
Italic,ita,file
Japonic,jpn,file
Koreanic,kor,file
Malayo-Polynesian,poz,file
Norse,non,file
Frisian,fry,file
Abkhaz,abk,file
Aramaic,arc,file
Assyrian,syr,file
Nahuatl,nhe,file
Egyptian,egy,file
Gandhari,pdg,file
Gaulish,xtg,file
Greenlandic,kal,file
Malay,ind,file
Na'vi,mis,file
Sami,sme,file
Novgorodian,rus,file
Saxon,osx,file
Proto-Brythonic,xpi,file
Proto-Celtic,mga,file
Proto-Germanic,deu,file
Proto-Norse,non,file
Proto-Slavic,None,file
Swahili,swa,file
Tocharian,None,file
Uyghur,uig,file
Vilamovian,wym,file
Westrobothnian,swe,file
Zazaki,zza,file
Aromanian,rup,file
Bura,bwr,file
Buryat,bua,file
Tamazight,ber,file
Franconian,deu,file
Demotic,cop,file
Jamtish,swe,file
Kaxuyana,waw,file
Kom,bkm,file
Konkani,kok,file
Kyrgyz,kir,file
Limburgish,lim,file
Lishana,lsd,file
Sorbian,wen,file
Nepali,nep,file
Slavonic,chu,file
Philistine,mis,file
Prakrit,pra,file
Proto-Hellenic,ell,file
Proto-Iranian,fas,file
Romani,rom,file
Rwanda-Rundi,kin,file
Sinhalese,sin,file
Solon,evn,file
Altai,tut,file
Tocharian,txb,file
Tokelauan,tkl,file
Tuvan,tyv,file